分數,價格,英文,日文,網站
4.58,6000,Torishiki,鳥しき,https://tabelog.com/tw/tokyo/A1316/A131601/13041029/
4.47,10000,Tsugumian,活鰻の店 つぐみ庵,https://tabelog.com/tw/tokyo/A1323/A132301/13080463/
4.44,10000,Kinryusan,炭焼 金竜山,https://tabelog.com/tw/tokyo/A1316/A131602/13001625/
4.41,10000,LATURE,ラチュレ,https://tabelog.com/tw/tokyo/A1303/A130301/13198692/
4.38,10000,SATO Buriand,SATOブリアン にごう,https://tabelog.com/tw/tokyo/A1319/A131905/13159782/
4.32,10000,Uomasa,うなぎ 魚政,https://tabelog.com/tw/tokyo/A1324/A132403/13035339/
4.27,10000,Hayashi,串揚げはやし,https://tabelog.com/tw/tokyo/A1309/A130905/13129802/
4.22,10000,Yung,私厨房 勇,https://tabelog.com/tw/tokyo/A1316/A131602/13168401/
4.22,10000,Gourmandise,グルマンディーズ,https://tabelog.com/tw/tokyo/A1307/A130701/13190448/
4.21,10000,EBISU YORONIKU,蕃 YORONIKU,https://tabelog.com/tw/tokyo/A1303/A130302/13211927/
4.20,8000,Torisawa,鳥さわ22,https://tabelog.com/tw/tokyo/A1307/A130703/13222625/
4.18,10000,yakinikujambo,焼肉 ジャンボ はなれ,https://tabelog.com/tw/tokyo/A1310/A131004/13160962/
4.18,10000,BOTTEGA,ボッテガ,https://tabelog.com/tw/tokyo/A1307/A130703/13204358/
4.17,10000,L'Octave Hayato KOBAYASHI,L'Octave Hayato KOBAYASHI,https://tabelog.com/tw/tokyo/A1309/A130901/13186978/
4.16,0,chuukasobashibata,中華そば しば田,https://tabelog.com/tw/tokyo/A1326/A132601/13162681/
4.15,6000,Sutaminaen,スタミナ苑,https://tabelog.com/tw/tokyo/A1323/A132305/13003777/
4.15,10000,Satoburidhie,サトブリDA,https://tabelog.com/tw/tokyo/A1319/A131905/13216529/
4.15,10000,ARMONICO,ARMONICO,https://tabelog.com/tw/tokyo/A1303/A130303/13156479/
4.14,10000,sumibiyakiyuuji,炭火焼 ゆうじ,https://tabelog.com/tw/tokyo/A1303/A130301/13001794/
4.14,10000,La Clairiere,ラ クレリエール,https://tabelog.com/tw/tokyo/A1316/A131602/13194179/
4.12,10000,LA BONNE TABLE,ラ・ボンヌターブル,https://tabelog.com/tw/tokyo/A1302/A130202/13166325/
4.12,8000,La Brianza,la Brianza,https://tabelog.com/tw/tokyo/A1307/A130701/13194346/
4.12,8000,minamiaoyamananachoume,南青山 七鳥目,https://tabelog.com/tw/tokyo/A1307/A130703/13200559/
4.10,10000,Il Pregio,イル プレージョ,https://tabelog.com/tw/tokyo/A1318/A131811/13147391/
4.10,10000,tsunokamizakakoshiba,津の守坂 小柴,https://tabelog.com/tw/tokyo/A1309/A130903/13200286/
4.08,8000,Torishige,鳥茂,https://tabelog.com/tw/tokyo/A1304/A130401/13001067/
4.08,0,L'atelier de Plaisir,ラトリエ ドゥ プレジール,https://tabelog.com/tw/tokyo/A1318/A131814/13050412/
4.08,6000,Omino,焼鳥　おみ乃,https://tabelog.com/tw/tokyo/A1312/A131203/13206654/
4.07,2000,Tomato,トマト,https://tabelog.com/tw/tokyo/A1319/A131906/13001113/
4.07,4000,tsukishimazaichi,月島 在市,https://tabelog.com/tw/tokyo/A1313/A131302/13095398/
4.04,8000,Tokyo Chinese Ichirin,東京チャイニーズ 一凛,https://tabelog.com/tw/tokyo/A1313/A131301/13153417/
4.04,10000,Air,エール,https://tabelog.com/tw/tokyo/A1301/A130101/13186624/
4.04,10000,nihombashisonoji,日本橋 蕎ノ字,https://tabelog.com/tw/tokyo/A1302/A130204/13201969/
4.04,10000,RISTORANTE PEGASO,リストランテ ペガソ,https://tabelog.com/tw/tokyo/A1307/A130703/13152248/
4.03,10000,Restaurant ALADDIN,レストラン アラジン,https://tabelog.com/tw/tokyo/A1307/A130703/13004454/
4.03,10000,CHEF'S,シェフス,https://tabelog.com/tw/tokyo/A1304/A130402/13000884/
4.03,10000,L'appartamento di NAOKI,ラパルタメント ディ ナオキ,https://tabelog.com/tw/tokyo/A1307/A130702/13120467/
4.03,10000,Mimosa,ミモザ,https://tabelog.com/tw/tokyo/A1306/A130602/13197047/
4.02,8000,Ata,Ata,https://tabelog.com/tw/tokyo/A1303/A130303/13150975/
4.02,10000,HITSUJI SUNRISE,羊SUNRISE,https://tabelog.com/tw/tokyo/A1307/A130702/13202705/
4.01,10000,ICARO miyamoto,ICARO miyamoto,https://tabelog.com/tw/tokyo/A1317/A131701/13050216/
4.00,0,Homemade Ramen Muginae,Homemade Ramen 麦苗,https://tabelog.com/tw/tokyo/A1315/A131502/13194812/
4.00,6000,PÂTISSERIE RYOCO,パティスリー リョーコ,https://tabelog.com/tw/tokyo/A1316/A131603/13137010/
4.00,10000,GINZA COBAU,焼肉 銀座コバウ,https://tabelog.com/tw/tokyo/A1301/A130101/13005008/
4.00,10000,OSTERIA OLIERA,オステリア・オリエーラ,https://tabelog.com/tw/tokyo/A1304/A130401/13099830/
4.00,3000,Sanlucar BAR,サンルーカルバー,https://tabelog.com/tw/tokyo/A1309/A130905/13112228/
4.00,10000,enekotoukyou,ENEKO Tokyo,https://tabelog.com/tw/tokyo/A1307/A130701/13212953/
3.99,10000,Casa VINITALIA,カーザ ヴィニタリア,https://tabelog.com/tw/tokyo/A1307/A130702/13010456/
3.99,10000,Chemins,シュマン,https://tabelog.com/tw/tokyo/A1308/A130801/13001336/
3.99,10000,Romantico,ロマンティコ,https://tabelog.com/tw/tokyo/A1316/A131602/13021521/
3.99,10000,Sushidokoroyamada,鮨處やまだ,https://tabelog.com/tw/tokyo/A1301/A130101/13144693/
3.98,1000,Mensonreiji,麺尊 RAGE,https://tabelog.com/tw/tokyo/A1319/A131907/13178309/
3.98,10000,Ushigoro Ginza,焼肉 うしごろ 銀座店,https://tabelog.com/tw/tokyo/A1301/A130101/13167325/
3.98,1000,Pathisuriasakoiwayanagi,PATISSERIE ASAKO IWAYANAGI,https://tabelog.com/tw/tokyo/A1317/A131715/13189509/
3.98,10000,Nakasei Uchimise,中勢以 内店,https://tabelog.com/tw/tokyo/A1323/A132302/13152057/
3.98,10000,CRAFTALE,クラフタル,https://tabelog.com/tw/tokyo/A1317/A131701/13186719/
3.98,4000,Toritanaka,鳥田中,https://tabelog.com/tw/tokyo/A1312/A131203/13208669/
3.98,10000,La facon koga,ラ・ファソン 古賀,https://tabelog.com/tw/tokyo/A1318/A131811/13155778/
3.97,2000,HIDEMI SUGINO,イデミスギノ,https://tabelog.com/tw/tokyo/A1302/A130202/13002285/
3.97,1000,patisserie Paris S'eveille,パティスリー・パリセヴェイユ,https://tabelog.com/tw/tokyo/A1317/A131703/13005198/
3.97,10000,Maison de YULONG,メゾン・ド・ユーロン,https://tabelog.com/tw/tokyo/A1308/A130801/13002871/
3.97,6000,Torisawa,鳥さわ,https://tabelog.com/tw/tokyo/A1312/A131202/13135959/
3.97,10000,Cantonese en KEN TAKASE,カントニーズ 燕 ケン タカセ,https://tabelog.com/tw/tokyo/A1302/A130201/13147494/
3.97,10000,Tadenoha,たでの葉,https://tabelog.com/tw/tokyo/A1306/A130603/13208304/
3.96,1000,Ramensugimoto,らぁ麺 すぎ本,https://tabelog.com/tw/tokyo/A1321/A132104/13163409/
3.96,0,Menyasakurai,麺屋 さくら井,https://tabelog.com/tw/tokyo/A1320/A132002/13202438/
3.96,6000,Kotaro,高太郎,https://tabelog.com/tw/tokyo/A1303/A130301/13123997/
3.96,0,Avranches Guesnay,アヴランシュ・ゲネー,https://tabelog.com/tw/tokyo/A1310/A131004/13186450/
3.96,6000,mouri,毛利,https://tabelog.com/tw/tokyo/A1301/A130101/13002661/
3.96,10000,Uzumaki,中華 うずまき,https://tabelog.com/tw/tokyo/A1308/A130801/13053284/
3.95,1000,Egurudosu,エーグルドゥース,https://tabelog.com/tw/tokyo/A1305/A130502/13005641/
3.95,0,Supaishikareroka,SPICY CURRY 魯珈,https://tabelog.com/tw/tokyo/A1304/A130404/13203027/
3.95,10000,Ishibashi,石ばし,https://tabelog.com/tw/tokyo/A1309/A130905/13003531/
3.95,6000,Restaurant MANOIR,レストラン マノワ,https://tabelog.com/tw/tokyo/A1303/A130302/13133477/
3.95,0,Menanchitose,麺庵ちとせ,https://tabelog.com/tw/tokyo/A1305/A130504/13182327/
3.95,10000,Yokota,天冨良 よこ田,https://tabelog.com/tw/tokyo/A1307/A130702/13001340/
3.95,6000,Ginzatenda,銀座 テンダー,https://tabelog.com/tw/tokyo/A1301/A130101/13002618/
3.95,6000,TexturA,TexturA,https://tabelog.com/tw/tokyo/A1301/A130102/13232958/
3.95,8000,Libre,Libre 白金高輪店,https://tabelog.com/tw/tokyo/A1316/A131602/13222761/
3.94,0,à tes souhaits!,アテスウェイ,https://tabelog.com/tw/tokyo/A1320/A132001/13005853/
3.94,10000,Yoroniku,よろにく,https://tabelog.com/tw/tokyo/A1306/A130602/13042979/
3.94,1000,tsukememmichi,つけ麺 道,https://tabelog.com/tw/tokyo/A1324/A132403/13094595/
3.94,5000,Tamawarai,玉笑,https://tabelog.com/tw/tokyo/A1306/A130601/13129390/
3.94,3000,Jiyu San,手打蕎麦 じゆうさん,https://tabelog.com/tw/tokyo/A1321/A132101/13025978/
3.94,2000,Shokorathieparedooru,ショコラティエ パレ ド オール 東京,https://tabelog.com/tw/tokyo/A1302/A130201/13038473/
3.94,0,kare-raisudhiran,カレーライス ディラン,https://tabelog.com/tw/tokyo/A1310/A131002/13158580/
3.94,0,Hokkorichuukasobamotsuke,ほっこり中華そば もつけ,https://tabelog.com/tw/tokyo/A1329/A132904/13192847/
3.94,8000,Toricho,鳥長,https://tabelog.com/tw/tokyo/A1321/A132102/13058892/
3.94,4000,Torimitsu,鳥みつ,https://tabelog.com/tw/tokyo/A1304/A130401/13136411/
3.94,5000,RODEO,RODEO,https://tabelog.com/tw/tokyo/A1317/A131701/13213575/
3.94,10000,Restaurant L'aube,レストラン ローブ,https://tabelog.com/tw/tokyo/A1307/A130702/13198413/
3.94,8000,Edomaeshinsaku,江戸前晋作,https://tabelog.com/tw/tokyo/A1310/A131004/13201105/
3.93,1000,Motenashikuroki,饗 くろ喜,https://tabelog.com/tw/tokyo/A1310/A131001/13127743/
3.93,10000,MASA'S KITCHEN47,MASA’S KITCHEN 恵比寿,https://tabelog.com/tw/tokyo/A1303/A130302/13054526/
3.93,1000,Gimpachitei Yazawa,吟八亭 やざ和,https://tabelog.com/tw/tokyo/A1324/A132403/13003083/
3.93,0,Ramenkai,らーめん改,https://tabelog.com/tw/tokyo/A1311/A131103/13191776/
3.93,1000,Obonvutan,オーボンヴュータン 尾山台店,https://tabelog.com/tw/tokyo/A1317/A131715/13181654/
3.93,10000,Restaurant L'asse,レストラン ラッセ,https://tabelog.com/tw/tokyo/A1316/A131601/13125439/
3.93,1000,Patisserie TRES CALME,パティスリートレカルム,https://tabelog.com/tw/tokyo/A1323/A132301/13175122/
3.93,10000,Ubuka,うぶか,https://tabelog.com/tw/tokyo/A1309/A130903/13139225/
3.93,8000,Principio,プリンチピオ,https://tabelog.com/tw/tokyo/A1307/A130702/13144481/
3.93,10000,Kondo,和食 こんどう,https://tabelog.com/tw/tokyo/A1309/A130903/13150477/
3.93,10000,bistrosimba,ビストロ・シンバ,https://tabelog.com/tw/tokyo/A1313/A131301/13186713/
3.92,1000,Itto,麺屋一燈,https://tabelog.com/tw/tokyo/A1312/A131204/13111737/
3.92,6000,yakinikuuguisudanien,焼肉 鶯谷園,https://tabelog.com/tw/tokyo/A1311/A131104/13012243/
3.92,6000,Obana,尾花,https://tabelog.com/tw/tokyo/A1324/A132401/13003509/
3.92,1000,ra-menyatoibokkusu,ラーメン屋 トイ・ボックス,https://tabelog.com/tw/tokyo/A1324/A132401/13162973/
3.92,1000,Libertable,リベルターブル 赤坂店,https://tabelog.com/tw/tokyo/A1308/A130801/13160987/
3.92,1000,Ramennijuubunnoichi,RAMEN　にじゅうぶんのいち,https://tabelog.com/tw/tokyo/A1324/A132401/13147594/
3.92,10000,Don Bravo,ドンブラボー,https://tabelog.com/tw/tokyo/A1326/A132601/13144681/
3.91,1000,CENTRE THE BAKERY,セントル ザ・ベーカリー,https://tabelog.com/tw/tokyo/A1301/A130101/13157424/
3.91,2000,Tonta,とん太,https://tabelog.com/tw/tokyo/A1305/A130503/13003984/
3.91,10000,Ristrante La ciau,リストランテ ラ チャウ,https://tabelog.com/tw/tokyo/A1314/A131402/13044737/
3.91,0,Ibuki,中華ソバ 伊吹,https://tabelog.com/tw/tokyo/A1322/A132205/13163874/
3.91,6000,yakinikuseiryuuen,焼肉 静龍苑,https://tabelog.com/tw/tokyo/A1312/A131201/13044037/
3.91,0,Kashiwagi,かしわぎ,https://tabelog.com/tw/tokyo/A1319/A131901/13209326/
3.91,10000,SALLE A MANGER de Hisashi WAKISAKA,サラマンジェ ド イザシ ワキサカ,https://tabelog.com/tw/tokyo/A1301/A130101/13151302/
3.91,0,LES CACAOS,レ・カカオ,https://tabelog.com/tw/tokyo/A1316/A131603/13203619/
3.91,10000,Beet eat,ビートイート,https://tabelog.com/tw/tokyo/A1318/A131814/13196455/
3.91,8000,Kaisekiryourihashimoto,懐石料理 はし本,https://tabelog.com/tw/tokyo/A1302/A130202/13154602/
3.90,0,DELHI,デリー 上野店,https://tabelog.com/tw/tokyo/A1311/A131101/13003605/
3.90,1000,NAKIRYU,創作麺工房 鳴龍,https://tabelog.com/tw/tokyo/A1323/A132302/13141302/
3.90,1000,Madairamemmengyo,真鯛らーめん 麺魚 本店,https://tabelog.com/tw/tokyo/A1312/A131201/13208237/
3.90,3000,Katcharu Batcharu,カッチャル バッチャル,https://tabelog.com/tw/tokyo/A1323/A132302/13120294/
3.90,10000,Don Ciccio,トラットリア シチリアーナ・ドンチッチョ,https://tabelog.com/tw/tokyo/A1303/A130301/13026215/
3.90,10000,La BOMBANCE,ラ・ボンバンス,https://tabelog.com/tw/tokyo/A1307/A130701/13016617/
3.90,2000,shiva curry wara,シバカリーワラ,https://tabelog.com/tw/tokyo/A1317/A131706/13151738/
3.90,1000,Yakumo,八雲,https://tabelog.com/tw/tokyo/A1317/A131705/13204333/
3.90,0,Memmitsui,麺 みつヰ,https://tabelog.com/tw/tokyo/A1311/A131102/13203387/
3.90,6000,Unagiya,鰻家,https://tabelog.com/tw/tokyo/A1321/A132101/13012445/
3.90,8000,Ristorantino Lubero,リストランティーノ　ルベロ,https://tabelog.com/tw/tokyo/A1316/A131601/13045711/
3.90,10000,Suzuki,鈴木,https://tabelog.com/tw/tokyo/A1326/A132601/13005981/
3.90,10000,Tonkatsukappoukatsuzen,とんかつかっぽう かつぜん,https://tabelog.com/tw/tokyo/A1301/A130101/13006519/
3.90,1000,Patisserie Yu Sasage,パティスリー ユウ ササゲ,https://tabelog.com/tw/tokyo/A1318/A131809/13155662/
3.90,10000,Ishibashi,いし橋,https://tabelog.com/tw/tokyo/A1311/A131101/13021036/
3.90,8000,Tsuchiya,土家,https://tabelog.com/tw/tokyo/A1328/A132806/13061606/
3.90,10000,Yamasuke,山介,https://tabelog.com/tw/tokyo/A1311/A131102/13156730/
3.90,1000,Arunoraeru,アルノー・ラエール 広尾本店,https://tabelog.com/tw/tokyo/A1307/A130703/13217253/
3.89,0,Tyukasobatagano,中華そば 多賀野,https://tabelog.com/tw/tokyo/A1317/A131712/13003421/
3.89,0,Signifiant Signifie,シニフィアン シニフィエ 世田谷本店,https://tabelog.com/tw/tokyo/A1317/A131706/13030788/
3.89,3000,KEN'S CAFE TOKYO,ケンズカフェ東京,https://tabelog.com/tw/tokyo/A1304/A130402/13024643/
3.89,0,machidashirubashiora-menshinka,町田汁場 しおらーめん進化,https://tabelog.com/tw/tokyo/A1327/A132701/13050023/
3.89,3000,Dharmasagara,ダルマサーガラ,https://tabelog.com/tw/tokyo/A1301/A130101/13002374/
3.89,6000,TRATTORIA GRAN BOCCA,トラットリア グランボッカ,https://tabelog.com/tw/tokyo/A1309/A130905/13173167/
3.89,10000,L'Assiette Blanche,ラシェット・ブランシュ,https://tabelog.com/tw/tokyo/A1316/A131602/13004471/
3.89,6000,Ryuuen,龍圓,https://tabelog.com/tw/tokyo/A1311/A131102/13003700/
3.89,0,A Cote Patisserie,ア コテ パティスリー,https://tabelog.com/tw/tokyo/A1316/A131602/13051424/
3.89,0,Chuukasobabenten,中華そば べんてん,https://tabelog.com/tw/tokyo/A1322/A132204/13200351/
3.89,6000,Bahoshi,BAR 保志,https://tabelog.com/tw/tokyo/A1301/A130101/13007819/
3.89,1000,CRIOLLO,クリオロ 東京本店,https://tabelog.com/tw/tokyo/A1322/A132202/13194959/
3.89,10000,PONTE DEL PIATTO,ポンテ デル ピアット,https://tabelog.com/tw/tokyo/A1307/A130703/13166111/
3.89,10000,Dame-Jeanne,ダム・ジャンヌ,https://tabelog.com/tw/tokyo/A1303/A130301/13053893/
3.89,5000,STAR BAR GINZA,スタア・バー・ギンザ,https://tabelog.com/tw/tokyo/A1301/A130101/13002270/
3.89,10000,Hayashi,鮨 波やし,https://tabelog.com/tw/tokyo/A1319/A131904/13070215/
3.89,8000,Lien,Lien,https://tabelog.com/tw/tokyo/A1317/A131705/13176808/
3.89,0,Junteuchidaruma,純手打ち だるま,https://tabelog.com/tw/tokyo/A1319/A131903/13218715/
3.89,4000,Houei,豊栄,https://tabelog.com/tw/tokyo/A1323/A132302/13194172/
3.88,1000,Toshiyoroiduka,Toshi Yoroizuka Mid Town,https://tabelog.com/tw/tokyo/A1307/A130701/13037382/
3.88,6000,ishiusuhikiteuchikyourakutei,石臼挽き手打 蕎楽亭,https://tabelog.com/tw/tokyo/A1309/A130905/13000479/
3.88,10000,Chuugokuhanten,中国飯店 六本木店,https://tabelog.com/tw/tokyo/A1307/A130701/13001954/
3.88,0,sobahausukonjikihototogisu,SOBA HOUSE 金色不如帰 新宿御苑本店,https://tabelog.com/tw/tokyo/A1304/A130402/13222172/
3.88,0,Patisserie Plaisir,パティスリー プレジール,https://tabelog.com/tw/tokyo/A1317/A131706/13045491/
3.88,0,BOULANGERIE SEIJI ASAKURA,ブーランジェリー セイジアサクラ,https://tabelog.com/tw/tokyo/A1316/A131603/13055881/
3.88,0,Furederikkukasseru,フレデリック カッセル 銀座三越,https://tabelog.com/tw/tokyo/A1301/A130101/13116839/
3.88,8000,Ranjatai,蘭奢待,https://tabelog.com/tw/tokyo/A1310/A131003/13000425/
3.88,1000,Menrabohiro,麺LABOひろ,https://tabelog.com/tw/tokyo/A1317/A131702/13203210/
3.88,10000,Beijing Yuzen,北京遊膳,https://tabelog.com/tw/tokyo/A1319/A131906/13001102/
3.88,10000,Artichaut,アーティショー,https://tabelog.com/tw/tokyo/A1303/A130302/13042337/
3.88,8000,Asakusajuuroku,浅草じゅうろく,https://tabelog.com/tw/tokyo/A1311/A131102/13185027/
3.88,8000,Yakitoriimai,焼鳥今井,https://tabelog.com/tw/tokyo/A1306/A130603/13025995/
3.88,3000,Kalpasi,カルパシ,https://tabelog.com/tw/tokyo/A1318/A131813/13202529/
3.88,10000,Yakinikuushigoro,焼肉うしごろ 銀座並木通り店,https://tabelog.com/tw/tokyo/A1301/A130101/13226719/
3.88,10000,Saekihanten,サエキ飯店,https://tabelog.com/tw/tokyo/A1316/A131601/13233311/
3.87,1000,Marugo,丸五,https://tabelog.com/tw/tokyo/A1310/A131001/13000379/
3.87,1000,Japanizusobanudorutsuta,Japanese Soba Noodles 蔦,https://tabelog.com/tw/tokyo/A1323/A132301/13136231/
3.87,1000,Mendokorohonda,麺処ほん田,https://tabelog.com/tw/tokyo/A1323/A132304/13047541/
3.87,8000,Godaime Nodaiwa,五代目 野田岩 麻布飯倉本店,https://tabelog.com/tw/tokyo/A1314/A131401/13002789/
3.87,3000,Pontahonke,ぽん多本家,https://tabelog.com/tw/tokyo/A1311/A131101/13003587/
3.87,6000,Tsukkabekkaraikayanuma,ツッカベッカライ カヤヌマ,https://tabelog.com/tw/tokyo/A1308/A130802/13002756/
3.87,3000,patisserie K.ViNCENT,パティスリー カーヴァンソン,https://tabelog.com/tw/tokyo/A1309/A130905/13035194/
3.87,0,ASTERISQUE,アステリスク,https://tabelog.com/tw/tokyo/A1318/A131811/13140735/
3.87,0,chuukasobaranchuu,中華蕎麦 蘭鋳,https://tabelog.com/tw/tokyo/A1319/A131903/13113532/
3.87,0,Le Ressort,ル・ルソール,https://tabelog.com/tw/tokyo/A1318/A131801/13026653/
3.87,6000,L'ottocento,ロットチェント,https://tabelog.com/tw/tokyo/A1302/A130203/13198683/
3.87,0,Chuukasobanishino,中華蕎麦にし乃,https://tabelog.com/tw/tokyo/A1310/A131004/13218311/
3.87,10000,Sanchokuya Taka,産直屋 たか,https://tabelog.com/tw/tokyo/A1303/A130301/13008327/
3.87,1000,MAISON D'AHNI,メゾン・ダーニ,https://tabelog.com/tw/tokyo/A1316/A131602/13183428/
3.87,8000,Mon Petit Cochon Rose,モンプチコションローズ,https://tabelog.com/tw/tokyo/A1323/A132301/13147009/
3.87,8000,Ginzakatsukami,銀座かつかみ,https://tabelog.com/tw/tokyo/A1301/A130101/13225476/
3.87,4000,Y&M Bar KISLING,ワイ アンド エム バー・キスリング,https://tabelog.com/tw/tokyo/A1301/A130101/13007814/
3.87,8000,Orlando,オルランド,https://tabelog.com/tw/tokyo/A1303/A130301/13174925/
3.86,2000,Dhaba India,ダバ インディア,https://tabelog.com/tw/tokyo/A1302/A130202/13000506/
3.86,0,viron,VIRON,https://tabelog.com/tw/tokyo/A1302/A130201/13043904/
3.86,1000,Signifiant Signifie,シニフィアン シニフィエ 日本橋タカシマヤ店,https://tabelog.com/tw/tokyo/A1302/A130202/13054419/
3.86,8000,ANTICA OSTERIA CARNEYA,アンティカ オステリア カルネヤ,https://tabelog.com/tw/tokyo/A1309/A130905/13045549/
