分數,日文,英文,網站
3.76,パティシエ シマ,Pathishieshima,https://tabelog.com/tw/tokyo/A1308/A130803/13000285/
3.76,食堂とだか,Shokudoutodaka,https://tabelog.com/tw/tokyo/A1316/A131603/13187669/
3.76,鮨 銀座 おのでら,Sushiginzaonodera,https://tabelog.com/tw/tokyo/A1301/A130101/13153824/
3.76,千寿 竹やぶ,Senjutakeyabu,https://tabelog.com/tw/tokyo/A1324/A132402/13003773/
3.76,あほう鳥,Ahoudori,https://tabelog.com/tw/tokyo/A1309/A130905/13063716/
3.76,アバスク　イチャスエタメンディ,abasukuichasuetamendhi,https://tabelog.com/tw/tokyo/A1303/A130301/13045262/
3.76,鳥栄,Toriei,https://tabelog.com/tw/tokyo/A1311/A131101/13003595/
3.76,ミネバル,MiNE BARU,https://tabelog.com/tw/tokyo/A1303/A130301/13131009/
3.76,潮州,Choushuu,https://tabelog.com/tw/tokyo/A1319/A131906/13001116/
3.76,ヴァリノール,Valinor,https://tabelog.com/tw/tokyo/A1319/A131906/13124693/
3.76,タツミ,tatsumi,https://tabelog.com/tw/tokyo/A1317/A131701/13124449/
3.76,そばきり すずき,Sobakirisuzuki,https://tabelog.com/tw/tokyo/A1328/A132801/13017457/
3.76,紫仙庵,Senan,https://tabelog.com/tw/tokyo/A1317/A131710/13038860/
3.76,ホルモン船　ホールちゃん,Horumonsenhoruchan,https://tabelog.com/tw/tokyo/A1304/A130401/13113717/
3.76,BAR オーパ 銀座,Baopa,https://tabelog.com/tw/tokyo/A1301/A130101/13002248/
3.76,エリティエ,Heritier,https://tabelog.com/tw/tokyo/A1323/A132301/13130758/
3.76,パティスリーレセンシエル,Patisserie L'essentielle,https://tabelog.com/tw/tokyo/A1323/A132302/13174296/
3.76,メゾン・ド・プティ・フール 本店,Mezondoputhifuru,https://tabelog.com/tw/tokyo/A1317/A131713/13003321/
3.76,レストラン&ワインバー レヴォル,resutoranandowaimba-revoru,https://tabelog.com/tw/tokyo/A1306/A130601/13219129/
3.76,ウィルビウス,Virbius,https://tabelog.com/tw/tokyo/A1320/A132002/13142890/
3.76,ete,Ete,https://tabelog.com/tw/tokyo/A1303/A130301/13175455/
3.76,キャンベルタウン・ロッホ,CAMPBELLTOUN LOCH,https://tabelog.com/tw/tokyo/A1301/A130102/13014709/
3.76,絵里香,Erika,https://tabelog.com/tw/tokyo/A1301/A130101/13007794/
3.75,六厘舎,Rokurinsha,https://tabelog.com/tw/tokyo/A1302/A130201/13093047/
3.75,たいめいけん,Taimeiken,https://tabelog.com/tw/tokyo/A1302/A130202/13000488/
3.75,喜楽,Kiraku,https://tabelog.com/tw/tokyo/A1303/A130301/13001705/
3.75,すごい煮干ラーメン凪 新宿ゴールデン街店本館,Sugoiniboshiramennagi,https://tabelog.com/tw/tokyo/A1304/A130401/13054766/
3.75,麺屋ひょっとこ,Menyahyottoko,https://tabelog.com/tw/tokyo/A1301/A130102/13046637/
3.75,はやし,Hayashi,https://tabelog.com/tw/tokyo/A1303/A130301/13003367/
3.75,ラーメン二郎 三田本店,Ramenjirou,https://tabelog.com/tw/tokyo/A1314/A131402/13006051/
3.75,ポワンエリーニュ,POINT ET LIGNE,https://tabelog.com/tw/tokyo/A1302/A130201/13038468/
3.75,麺屋 翔 本店,Menyashou,https://tabelog.com/tw/tokyo/A1304/A130401/13040181/
3.75,紀の善,Kinozen,https://tabelog.com/tw/tokyo/A1309/A130905/13000478/
3.75,銀座 朧月,Ginzaoboroduki,https://tabelog.com/tw/tokyo/A1301/A130101/13118141/
3.75,麺処 銀笹,mentokoroginzasa,https://tabelog.com/tw/tokyo/A1301/A130103/13119563/
3.75,青島食堂 秋葉原店,Aoshimashokudou,https://tabelog.com/tw/tokyo/A1310/A131001/13094776/
3.75,田中商店 本店,Tanakashouten,https://tabelog.com/tw/tokyo/A1324/A132404/13003726/
3.75,ラデュレ サロン・ド・テ 銀座三越店,Laduree Salon de the,https://tabelog.com/tw/tokyo/A1301/A130101/13053865/
3.75,curry 草枕,Karekusamakura,https://tabelog.com/tw/tokyo/A1304/A130402/13042970/
3.75,空也,Kuuya,https://tabelog.com/tw/tokyo/A1301/A130101/13002591/
3.75,RAMEN CiQUE,ra-menchikyuu,https://tabelog.com/tw/tokyo/A1319/A131905/13048520/
3.75,トウキョウライトブルー ホンゴウスリー,TOKYO LIGHT BLUE HONGO-3,https://tabelog.com/tw/tokyo/A1310/A131004/13136989/
3.75,麺処 晴,Mendokoroharu,https://tabelog.com/tw/tokyo/A1311/A131104/13143115/
3.75,ラ･メゾン･デュ･ショコラ 丸の内店,Ramezondhushokora,https://tabelog.com/tw/tokyo/A1301/A130102/13000036/
3.75,ラーメン大至,Ramendaishi,https://tabelog.com/tw/tokyo/A1310/A131002/13042832/
3.75,ロウリーズ・ザ・プライムリブ 恵比寿ガーデンプレイス店,ro-ri-zuzapuraimuribu,https://tabelog.com/tw/tokyo/A1303/A130302/13165420/
3.75,ビゴの店,bigonomise,https://tabelog.com/tw/tokyo/A1301/A130101/13002489/
3.75,アジャンタ,AJANTA,https://tabelog.com/tw/tokyo/A1308/A130803/13000438/
3.75,ブラッスリー・ヴィロン 丸の内店,Brasserie VIRON ,https://tabelog.com/tw/tokyo/A1302/A130201/13020161/
3.75,パネッテリア・アリエッタ 五反田本店,Panetteria ARIETTA,https://tabelog.com/tw/tokyo/A1316/A131603/13019888/
3.75,インペリアルバイキング サール,THE IMPERIAL VIKING SAL,https://tabelog.com/tw/tokyo/A1301/A130102/13002298/
3.75,陸蒸気,Okajouki,https://tabelog.com/tw/tokyo/A1319/A131902/13000216/
3.75,インディアンレストラン　アールティ,Indhianresutoranaruthi,https://tabelog.com/tw/tokyo/A1310/A131001/13091984/
3.75,うかい鳥山,Ukaitoriyama,https://tabelog.com/tw/tokyo/A1329/A132905/13006021/
3.75,表参道うかい亭,OMOTESANDO Ukai-tei,https://tabelog.com/tw/tokyo/A1306/A130601/13044361/
3.75,フルーツパーラーゴトー,Furutsuparagoto,https://tabelog.com/tw/tokyo/A1311/A131102/13095672/
3.75,中華そば ムタヒロ  1号店,chuukasobamutahiro,https://tabelog.com/tw/tokyo/A1325/A132502/13131257/
3.75,山利喜 本館,Yamariki,https://tabelog.com/tw/tokyo/A1312/A131201/13002992/
3.75,築地すし大 本館,Tsukijisushidai,https://tabelog.com/tw/tokyo/A1313/A131301/13002314/
3.75,タロス,Tharros,https://tabelog.com/tw/tokyo/A1303/A130301/13046432/
3.75,お好み焼 きじ 品川店,Okonomiyakikiji,https://tabelog.com/tw/tokyo/A1314/A131403/13120197/
3.75,瑞穂,Mizuho,https://tabelog.com/tw/tokyo/A1306/A130601/13001154/
3.75,ホレンディッシェ・カカオシュトゥーベ 新宿伊勢丹店,HOLLANDISCHE KAKAO-STUBE ,https://tabelog.com/tw/tokyo/A1304/A130401/13097078/
3.75,吉田カレー ,Yoshidakare,https://tabelog.com/tw/tokyo/A1319/A131906/13132405/
3.75,竹末東京Premium,takematsutoukyoupuremiamu,https://tabelog.com/tw/tokyo/A1312/A131203/13167920/
3.75,味坊,Ajibou,https://tabelog.com/tw/tokyo/A1310/A131002/13009143/
3.75,赤坂 金舌,akasakakintan,https://tabelog.com/tw/tokyo/A1308/A130801/13080895/
3.75,とんかつひなた,Tonkatsuhinata,https://tabelog.com/tw/tokyo/A1305/A130503/13204289/
3.75,ラーメン二郎 ひばりヶ丘駅前店,Ramenjirou,https://tabelog.com/tw/tokyo/A1328/A132801/13024745/
3.75,ラ ブティック ドゥ ジョエル・ロブション 六本木ヒルズ店,LA BOUTIQUE de Joel Rubchon,https://tabelog.com/tw/tokyo/A1307/A130701/13020237/
3.75,柴崎亭,Shibasakitei,https://tabelog.com/tw/tokyo/A1326/A132601/13135162/
3.75,ちもと,Chimoto,https://tabelog.com/tw/tokyo/A1317/A131702/13003218/
3.75,ルヴァン 富ヶ谷店,Levain,https://tabelog.com/tw/tokyo/A1318/A131810/13001841/
3.75,味芳斎 支店,Mihousai,https://tabelog.com/tw/tokyo/A1314/A131401/13001509/
3.75,中華そば しながわ,chuukasobashinagawa,https://tabelog.com/tw/tokyo/A1322/A132202/13157559/
3.75,麺処 篠はら,Mendokoroshinohara,https://tabelog.com/tw/tokyo/A1322/A132202/13188419/
3.75,桜なべ　みの家 本店,Minoya,https://tabelog.com/tw/tokyo/A1312/A131201/13002984/
3.75,ザ・ロビー,The Peninsula Tokyo The Lobby,https://tabelog.com/tw/tokyo/A1301/A130102/13043018/
3.75,舞浜,Maihama,https://tabelog.com/tw/tokyo/A1301/A130103/13013868/
3.75,とんかつ かつ壱,tonkatsukatsuichi,https://tabelog.com/tw/tokyo/A1316/A131601/13021829/
