울ㅲ,쭯놓켹ㅐ,㏓훫쯗ㄴ쾤,짽ㅐ쾧쯗ㄴ쾤,@쾧쯗ㄴ쾤
Kevin Durant,32.3,51.4,43.8,90.3
James Harden,31.6,41.3,35,83.7
Kawhi Leonard,30.5,49,37.9,88.4
Paul George,28.6,43.6,31.9,81.6
Stephen Curry,28.2,44.1,37.7,94.3
Damian Lillard,26.9,41.8,37.3,83.3
Giannis Antetokounmpo,25.5,49.4,32.7,63.7
Nikola Jokic,25.1,50.6,39.3,84.6
CJ McCollum,24.7,44,39.3,73.2
Blake Griffin,24.5,46.2,46.2,100
Russell Westbrook,22.8,36,32.4,88.5
DeMar DeRozan,22,48.7,0,86.4
Lou Williams,21.7,43.3,33.3,82.9
Donovan Mitchell,21.4,32.1,25.6,72.7
Kyrie Irving,21.3,38.5,31,90
Jamal Murray,21.3,42.5,33.7,90.3
Caris LeVert,21,49.3,46.2,72.4
Klay Thompson,20.7,45.6,44.3,90.2
Joel Embiid,20.2,42.8,30.8,82.2
LaMarcus Aldridge,20,45.5,27.3,81.8
Danilo Gallinari,19.8,35.1,30.2,84.8
Jimmy Butler,19.4,45.1,26.7,87.5
D 'Angelo Russell,19.4,35.9,32.4,84.6
Pascal Siakam,19,47,27.9,75.9
Montrezl Harrell,18.3,73,0,69.2
Bojan Bogdanovic,18,39.7,31.8,88.2
Eric Gordon,17.8,44.7,40,85.7
Reggie Jackson,17.8,43.1,42.9,85.7
Chris Paul,17,44.6,27,84.4
Khris Middleton,16.9,41.8,43.5,88.5
Tobias Harris,15.5,42.5,34.9,84.6
Ricky Rubio,15.4,42.4,20,85
Tyreke Evans,15.3,43.8,55,57.1
Aaron Gordon,15.2,46.8,40,52.6
Jayson Tatum,15.2,43.8,32.3,74.4
Derrick White,15.1,54.7,29.4,73.1
Luke Kennard,15,48.9,60,83.3
Kyle Lowry,15,44,35.9,80.2
Spencer Dinwiddie,14.6,43.5,37.5,71.4
Paul Millsap,14.6,46.8,31.6,77
Andre Drummond,14.3,44.4,0,42.9
Gary Harris,14.2,46.2,35.1,86.8
Jaylen Brown,13.9,50.6,35,76.7
Al Horford,13.9,41.8,40.9,83.3
Ben Simmons,13.9,62.1,0,57.5
Dennis Schroder,13.8,45.5,30,72.2
Eric Bledsoe,13.7,41.1,23.6,70.6
Shai Gilgeous-Alexander,13.7,46.7,50,85
Marcus Morris,13.7,51.9,45,74.2
JJ Redick,13.4,43.5,41.4,85
Draymond Green,13.3,49.8,22.8,71.8
Rondae Hollis Jefferson,13.3,48.5,100,80
Terrence Ross,13.2,37,34.3,82.4
Malcolm Brogdon,13,44.9,37.8,63.6
D.J. Augustin,12.8,48.8,47.6,87.5
Evan Fournier,12.4,34.8,23.5,75
Darren Collison,12,42.2,36.4,100
Steven Adams,11.8,66.7,0,37.5
Derrick Favors,11.8,63.9,0,68.4
Jerami Grant,11.6,50,45,69.2
George Hill,11.5,53.4,41.7,81.8
Jae Crowder,11.4,37,30,73.7
Enes Kanter,11.4,51.4,25,75.6
PJ Tucker,11.4,45.5,45.6,82.6
Rudy Gobert,11.2,59.4,0,78.3
Brook Lopez,11.2,45.5,29.3,82.8
Nikola Vucevic,11.2,36.2,23.1,78.6
Rudy Gay,11.1,40,42.1,82.4
Jarrett Allen,11,59.4,0,85
JaMychal Green,11,53.5,52.2,80
Bryn Forbes,10.7,48.2,48.4,66.7
Royce O'Neale,10.6,46.7,34.8,75
Thaddeus Young,10.5,42.9,25,57.1
Rodney Hood,9.9,46.8,35.3,81.8
Patrick Beverley,9.8,42.6,43.3,75
Andre Iguodala,9.8,49.4,35,37.8
Myles Turner,9.8,40,21.4,61.5
Clint Capela,9.7,56.1,0,42.9
Gordon Hayward,9.6,41.4,37.5,100
Nikola Mirotic,9.5,37.6,28.9,82.1
Marc Gasol,9.4,42.2,38.2,87
Serge Ibaka,9.4,47.7,23.7,76.2
Will Barton,9.1,34.8,27.3,69.2
Joe Harris,8.8,37.2,19,100
Domantas Sabonis,8.5,41.4,25,64.3
Maurice Harkless,8.4,47.7,25,63.9
Malik Beasley,8.1,38.7,40.4,71
Shabazz Napier,8,63.6,60,87.5
Fred VanVleet,8,39.2,38.8,77.4
Wayne Ellington,7.8,31.4,31.8,100
Langston Galloway,7.8,32.4,36,0
Meyers Leonard,7.7,52.3,42.4,33.3
Landry Shamet,7.7,34.2,32.3,100
DeMarcus Cousins,7.6,39.6,25,64
James Ennis III,7.5,48.4,28.1,63.2
Cory Joseph,7.5,50,44.4,100
Al-Farouq Aminu,7.4,34.9,29.4,75
Austin Rivers,7.4,43.5,45.7,66.7
Jakob Poeltl,7.3,63.9,0,55.6
Kevon Looney,7.1,68.8,0,72.4
Wesley Matthews,7,30,33.3,100
Danny Green,6.9,34.2,32.8,91.3
Zach Collins,6.8,50.6,33.3,80
Ersan Ilyasova,6.8,43.2,30,80
DeMarre Carroll,6.6,23.7,29.2,100
Michael Carter-Williams,6.6,38.7,25,87.5
Torrey Craig,6.6,47.8,47.2,56.3
Jonathan Isaac,6.6,27.5,20,87.5
Norman Powell,6.5,44.4,38.7,73.7
Joe Ingles,6.4,32.4,27.6,0
Terry Rozier,6.4,32.2,23.5,75
Rodions Kurucs,6.3,40,25,77.8
Pat Connaughton,6.2,48.1,35.7,50
Ish Smith,6,26.3,14.3,75
Marco Belinelli,5.9,36.8,38.1,83.3
Boban Marjanovic,5.8,60,0,84.2
Seth Curry,5.6,36.6,40.4,81.8
Mike Scott,5.6,44.7,35.3,100
Thon Maker,5.5,26.9,0,88.9
Monte Morris,5.4,38.4,0,69.2
Ed Davis,5.3,70,0,100
Patty Mills,5.3,32.6,13.6,60
Khem Birch,5.2,55.6,0,85.7
Terrance Ferguson,5,36,38.9,0
Ivica Zubac,5,50,0,66.7
Danuel House Jr.,4.9,29.7,25.8,50
Wes Iwundu,4.8,33.3,33.3,100
Furkan Korkmaz,4.8,33.3,37.5,80
Nerlens Noel,4.8,60,0,0
Khyri Thomas,4.7,50,25,100
Mason Plumlee,4.6,51.1,0,57.1
Grayson Allen,4.5,28.6,0,71.4
Georges Niang,4.4,40.9,30.8,0
Glenn Robinson III,4.3,26.7,12.5,100
Quinn Cook,4.2,40,32.4,100
Sterling Brown,4.1,39.5,33.3,72.7
Kenneth Faried,4,69.2,100,83.3
Shaun Livingston,4,45.3,0,84
Greg Monroe,4,40,25,77.8
Nene,3.9,100,0,77.8
Wilson Chandler,3.8,31.3,10,100
Markieff Morris,3.8,31.3,28.6,77.8
Jerome Robinson,3.6,35.7,50,100
Iman Shumpert,3.6,38.5,36.4,25
Jonathon Simmons,3.6,33.3,20,75
Gerald Green,3.5,30,34.5,100
Marcus Smart,3.5,9.1,9.1,66.7
Bruce Brown,3.3,35.7,20,100
Jarell Martin,3.3,44.4,28.6,0
Davis Bertans,3.2,33.3,27.3,60
Jared Dudley,3,27.3,22.2,100
Alfonzo McKinnie,3,44.1,31.3,40
Theo Pinson,3,37.5,42.9,0
Jordan Bell,2.7,54.8,0,70
Andrew Bogut,2.7,64.9,0,80
T.J. McConnell,2.7,44.4,0,0
Evan Turner,2.7,32.6,100,80
Donatas Motiejunas,2.6,60,0,50
Chris Boucher,2.5,40,33.3,0
Kyle Korver,2.5,37.5,33.3,66.7
Zaza Pachulia,2.5,33.3,0,50
Brad Wanamaker,2.5,42.9,100,75
D.J. Wilson,2.4,50,20,100
Garrett Temple,2.3,27.3,14.3,70
Raymond Felton,2.2,30.8,25,50
Semi Ojeleye,2.2,44.4,60,100
Aron Baynes,2.1,57.1,33.3,50
Jonas Jerebko,2.1,28.6,26.3,83.3
Isaiah Hartenstein,2,100,0,0
Amir Johnson,2,100,0,0
TJ Leaf,2,0,0,100
Jon Leuer,2,50,0,0
Doug McDermott,2,20,0,50
Dzanan Musa,2,66.7,0,0
Tyrone Wallace,2,25,0,66.7
Guerschon Yabusele,2,50,0,57.1
Tim Frazier,1.9,61.5,50,100
Melvin Frazier Jr.,1.7,40,0,50
Jerian Grant,1.7,20,0,100
Aaron Holiday,1.7,40,50,0
Daniel Theis,1.7,35.7,0,100
Jonah Bolden,1.6,26.3,25,50
Jodie Meeks,1.6,31,15.4,66.7
Treveon Graham,1.4,20,0,50
Thabo Sefolosha,1.3,14.3,12.5,0
Sindarius Thornwell,1.3,33.3,33.3,0
Robert Williams III,1.3,50,0,100
Dante Cunningham,1.2,66.7,100,0
Jeremy Lin,1.1,22.2,50,100
Lonnie Walker IV,1,37.5,0,0
Damian Jones,0.8,100,0,50
Jake Layman,0.8,14.3,0,75
Malcolm Miller,0.8,25,16.7,75
Anfernee Simons,0.8,0,0,80
Deonte Burton,0.7,20,0,0
Jacob Evans,0.7,40,50,0
Skal Labissiere,0.7,25,0,0
Abdel Nader,0.7,50,0,0
Raul Neto,0.7,16.7,0,0
Juancho Hernangomez,0.6,33.3,50,0
Tony Snell,0.6,33.3,50,0
Patrick McCaw,0.5,20,33.3,100
Eric Moreland,0.3,50,0,0
OG Anunoby,0,0,0,0
Mo Bamba,0,0,0,0
Tony Bradley,0,0,0,0
Jose Calderon,0,0,0,0
Troy Caupain,0,0,0,0
Tyler Cavanaugh,0,0,0,0
Chris Chiozza,0,0,0,0
Gary Clark,0,0,0,0
Bonzie Colson,0,0,0,0
Allen Crabbe,0,0,0,0
Angel Delgado,0,0,0,0
Marcus Derrickson,0,0,0,0
Donte DiVincenzo,0,0,0,0
Hamidou Diallo,0,0,0,0
PJ Dozier,0,0,0,0
Trevon Duval,0,0,0,0
Vincent Edwards,0,0,0,0
Drew Eubanks,0,0,0,0
Jawun Evans,0,0,0,0
Dante Exum,0,0,0,0
Michael Frazier,0,0,0,0
Markelle Fultz,0,0,0,0
Pau Gasol,0,0,0,0
Jonathan Gibson,0,0,0,0
Brandon Goodwin,0,0,0,0
Donte Grantham,0,0,0,0
Haywood Highsmith,0,0,0,0
RJ Hunter,0,0,0,0
Amile Jefferson,0,0,0,0
Alize Johnson,0,0,0,0
Damion Lee,0,0,0,0
Jordan Loyd,0,0,0,0
Kalin Lucas,0,0,0,0
Tyler Lydon,0,0,0,0
Trey Lyles,0,0,0,0
Rodney McGruder,0,0,0,0
Chimezie Metu,0,0,0,0
Shake Milton,0,0,0,0
Naz Mitrou-Long,0,0,0,0
Ben Moore,0,0,0,0
Johnathan Motley,0,0,0,0
Timofey Mozgov,0,0,0,0
Dejounte Murray,0,0,0,0
Svi Mykhailiuk,0,0,0,0
Jusuf Nurkic,0,0,0,0
Kyle O'Quinn,0,0,0,0
Victor Oladipo,0,0,0,0
Patrick Patterson,0,0,0,0
Quincy Pondexter,0,0,0,0
Michael Porter Jr.,0,0,0,0
Davon Reed,0,0,0,0
Andre Roberson,0,0,0,0
Zhaire Smith,0,0,0,0
Edmond Sumner,0,0,0,0
Isaiah Thomas,0,0,0,0
Gary Trent Jr.,0,0,0,0
Ekpe Udoh,0,0,0,0
Jarred Vanderbilt,0,0,0,0
Thomas Welsh,0,0,0,0
Isaiah Whitehead,0,0,0,0
Alan Williams,0,0,0,0
